"filename", "language", "Python", "JSON", "comment", "blank", "total"
"d:\PyGames\OpenFarm\assetloader.py", "Python", 9, 0, 0, 0, 9
"d:\PyGames\OpenFarm\data\test_world\0;0.json", "JSON", 0, 1, 0, 0, 1
"d:\PyGames\OpenFarm\data\test_world\player.json", "JSON", 0, 1, 0, 0, 1
"d:\PyGames\OpenFarm\easy_visualizer.py", "Python", -33, 0, -2, -11, -46
"d:\PyGames\OpenFarm\main.py", "Python", 1, 0, 2, 2, 5
"d:\PyGames\OpenFarm\settings.py", "Python", 9, 0, 0, 0, 9
"d:\PyGames\OpenFarm\support.py", "Python", 7, 0, 0, 3, 10
"d:\PyGames\OpenFarm\visualizer.py", "Python", 34, 0, 2, 10, 46
"d:\PyGames\OpenFarm\world\generic.py", "Python", 30, 0, 0, 5, 35
"d:\PyGames\OpenFarm\world\house.py", "Python", 71, 0, 0, 3, 74
"d:\PyGames\OpenFarm\world\inventory.py", "Python", 2, 0, 0, 1, 3
"d:\PyGames\OpenFarm\world\player.py", "Python", 51, 0, 0, 6, 57
"d:\PyGames\OpenFarm\world\soil.py", "Python", 37, 0, 0, 6, 43
"d:\PyGames\OpenFarm\world\sprites.py", "Python", 245, 0, 0, 42, 287
"d:\PyGames\OpenFarm\world\ui.py", "Python", 8, 0, 2, 3, 13
"d:\PyGames\OpenFarm\world\world.py", "Python", 12, 0, 0, 3, 15
"d:\PyGames\OpenFarm\world\zone.py", "Python", 250, 0, 0, 8, 258
"Total", "-", 733, 2, 4, 81, 820
